,Item,Age,Continent,Pole ID,PLat,PLon,A95
38,39,142.0,NAM,ITH,58.0,203.1,3.8
39,40,144.0,EUR,HD,61.5,188.0,7.5
40,41,145.0,SAF,SB,63.1,209.6,6.3
41,42,157.0,SAM,EQ,84.4,122.5,7.6
43,44,168.0,AUS,PD,70.7,118.7,6.4
44,45,169.0,NAM,MV,81.6,89.7,5.6
45,46,179.0,EUR,SC,75.0,91.7,6.8
47,48,180.0,NAM,WM,85.5,124.5,5.2
49,50,183.0,AUS,TD,72.7,114.2,5.2
50,51,183.0,SAF,KL,74.3,51.5,3.3
51,52,183.0,EANT,FD,77.6,72.8,2.7
52,53,187.0,SAM,LO,85.0,174.0,6.8
53,54,198.0,EUR,KD,68.1,56.6,7.5
54,70,157.5,NAM,TB,77.9,198.9,4.1
55,71,154.9,NAM,Peddie,73.5,184.1,3.7
