tab delimited	contribution
id	version	timestamp	contributor	magic_version	doi
11883	PRIVATE	2017-03-02T18:50:20.537Z	@lfairchild	3.0	10.1130/l580.1
>>>>>>>>>>
tab delimited	locations
location	location_type	citations	lat_s	lat_n	lon_w	lon_e
Michipicoten Island	Region	This study	47.7022	47.7244	274.3519	274.044128
Two Island River	Outcrop	This study	47.524091	47.53669	269.07756	269.06
>>>>>>>>>>
tab delimited	sites
site	location	samples	specimens	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	height	age	age_sigma	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_r	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_comp_name	dir_polarity	vgp_lat	vgp_lon	vgp_dp	vgp_dm	description	criteria	software_packages	analysts
CM1	Michipicoten Island	CM1-1:CM1-2:CM1-3:CM1-4:CM1-5:CM1-6:CM1-7:CM1-8	CM1-1a:CM1-2a:CM1-3a:CM1-4a:CM1-5a:CM1-6a:CM1-7a:CM1-8a	i	g	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	This study	Extrusive	Lava Flow	Andesite	47.723033	274.047812	0.0	0	2280.0	1084.35	1086.5	Ma	0	325.8	-7.0	6.7	7.899	69.0	8	8	8	0	HT	t	30.7	134.8	3.4	6.7	Site direction included in results table	ACCEPT	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
CM1	Michipicoten Island	CM1-2:CM1-3:CM1-4:CM1-5:CM1-7:CM1-8	CM1-2a:CM1-3a:CM1-4a:CM1-5a:CM1-7a:CM1-8a	i	g	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	This study	Extrusive	Lava Flow	Andesite	47.723033	274.047812	0.0	0	2280.0	1084.35	1086.5	Ma	0	323.2	75.7	11.8	5.8487	33.0	6	6	6	0	LT	n	64.7	234.6	19.9	21.7	Site direction included in results table	ACCEPT	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
CM1	Michipicoten Island	CM1-1:CM1-2:CM1-3:CM1-4:CM1-5:CM1-6:CM1-7:CM1-8	CM1-1a:CM1-2a:CM1-3a:CM1-4a:CM1-5a:CM1-6a:CM1-7a:CM1-8a	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	This study	Extrusive	Lava Flow	Andesite	47.723033	274.047812	0.0	0	2280.0	1084.35	1086.5	Ma	100	323.9	21.5	6.7	7.8994	70.0	8	8	8	0	HT	n	42.6	145.7	3.7	7.1	Site direction included in results table	ACCEPT	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
CM1	Michipicoten Island	CM1-2:CM1-3:CM1-4:CM1-5:CM1-7:CM1-8	CM1-2a:CM1-3a:CM1-4a:CM1-5a:CM1-7a:CM1-8a	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	This study	Extrusive	Lava Flow	Andesite	47.723033	274.047812	0.0	0	2280.0	1084.35	1086.5	Ma	100	191.8	69.7	11.8	5.8488	33.0	6	6	6	0	LT	t	11.7	266.9	17.3	20.2	Site direction included in results table	ACCEPT	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
CM2	Michipicoten Island	CM2-1:CM2-2:CM2-3:CM2-4:CM2-5:CM2-6:CM2-7:CM2-8:CM2-9	CM2-1a:CM2-2a:CM2-3a:CM2-4a:CM2-5a:CM2-6a:CM2-7a:CM2-8a:CM2-9a	i	g	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	This study	Extrusive	Lava Flow	Andesite	47.718965000000004	274.044128	175.0	1	2280.0	1084.35	1086.5	Ma	0	303.3	-9.0	1.6	8.9924	1050.0	9	9	9	0	HT	t	18.0	155.2	0.8	1.6	Site direction included in results table	ACCEPT	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
CM2	Michipicoten Island	CM2-1:CM2-2:CM2-3:CM2-4:CM2-5:CM2-6:CM2-7:CM2-8:CM2-9	CM2-1a:CM2-2a:CM2-3a:CM2-4a:CM2-5a:CM2-6a:CM2-7a:CM2-8a:CM2-9a	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	This study	Extrusive	Lava Flow	Andesite	47.718965000000004	274.044128	175.0	1	2280.0	1084.35	1086.5	Ma	100	303.8	6.1	1.6	8.9923	1035.0	9	9	9	0	HT	t	24.4	159.7	0.8	1.6	Site direction included in results table	ACCEPT	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
SLB01	Two Island River	SLB01.1:SLB01.2:SLB01.3:SLB01.4:SLB01.5:SLB01.6:SLB01.7:SLB01.8:SLB01.9	SLB01.1a:SLB01.2a:SLB01.3a:SLB01.4a:SLB01.5a:SLB01.6a:SLB01.7a:SLB01.8a:SLB01.9a	i	g	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	This study	Extrusive	Lava Flow	Basalt	47.53669	269.06		26	2280.0	1086.0	1091.61	Ma	0	274.5	12.1	2.2	8.9852	541.0	9	9	9	0	hem	t	7.5	179.9	1.1	2.2	Site direction included in results table	ACCEPT	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
SLB01	Two Island River	SLB01.1:SLB01.2:SLB01.3:SLB01.4:SLB01.5:SLB01.6:SLB01.7:SLB01.8:SLB01.9	SLB01.1a:SLB01.2a:SLB01.3a:SLB01.4a:SLB01.5a:SLB01.6a:SLB01.7a:SLB01.8a:SLB01.9a	i	g	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	This study	Extrusive	Lava Flow	Basalt	47.53669	269.06		26	2280.0	1086.0	1091.61	Ma	0	274.2	13.5	3.1	8.972	285.0	9	9	9	0	mag	t	7.9	180.6	1.6	3.2	Site direction included in results table	ACCEPT	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
SLB01	Two Island River	SLB01.1:SLB01.2:SLB01.3:SLB01.4:SLB01.5:SLB01.6:SLB01.7:SLB01.8:SLB01.9	SLB01.1a:SLB01.2a:SLB01.3a:SLB01.4a:SLB01.5a:SLB01.6a:SLB01.7a:SLB01.8a:SLB01.9a	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	This study	Extrusive	Lava Flow	Basalt	47.53669	269.06		26	2280.0	1086.0	1091.61	Ma	100	270.8	25.2	2.2	8.9851	539.0	9	9	9	0	hem	t	10.3	187.5	1.3	2.4	Site direction included in results table	ACCEPT	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
SLB01	Two Island River	SLB01.1:SLB01.2:SLB01.3:SLB01.4:SLB01.5:SLB01.6:SLB01.7:SLB01.8:SLB01.9	SLB01.1a:SLB01.2a:SLB01.3a:SLB01.4a:SLB01.5a:SLB01.6a:SLB01.7a:SLB01.8a:SLB01.9a	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	This study	Extrusive	Lava Flow	Basalt	47.53669	269.06		26	2280.0	1086.0	1091.61	Ma	100	270.2	26.6	3.1	8.972	285.0	9	9	9	0	mag	t	10.5	188.5	1.8	3.4	Site direction included in results table	ACCEPT	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
