tab 	pmag_results
average_age	average_age_sigma	average_age_unit	average_alpha95	average_dec	average_height	average_inc	average_k	average_lat	average_lon	average_n	average_n_lines	average_n_planes	average_r	data_type	er_analyst_mail_names	er_citation_names	er_location_names	er_site_names	er_specimen_names	magic_method_codes	magic_software_packages	pmag_criteria_codes	pmag_result_name	pole_comp_name	result_description	tilt_correction	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n
1.0880e+03	3.0000e+00	Ma	3.1	274.2	443	13.5	285	47.5367	-90.9400	9	9	0	8.9720	i		This study	Two Island River	SLB01	SLB01.1a:SLB01.2a:SLB01.3a:SLB01.4a:SLB01.5a:SLB01.6a:SLB01.7a:SLB01.8a:SLB01.9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB01	mag	Site VGP, coord system = 100 component: hem	0	3.2	1.6	7.9	180.6	9
1.0880e+03	3.0000e+00	Ma	2.2	274.5	443	12.1	541	47.5367	-90.9400	9	9	0	8.9852	i		This study	Two Island River	SLB01	SLB01.1a:SLB01.2a:SLB01.3a:SLB01.4a:SLB01.5a:SLB01.6a:SLB01.7a:SLB01.8a:SLB01.9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB01	hem	Site VGP, coord system = 100 component: hem	0	2.2	1.1	7.5	179.9	9
1.0880e+03	3.0000e+00	Ma	3.1	270.2	443	26.6	285	47.5367	-90.9400	9	9	0	8.9720	i		This study	Two Island River	SLB01	SLB01.1a:SLB01.2a:SLB01.3a:SLB01.4a:SLB01.5a:SLB01.6a:SLB01.7a:SLB01.8a:SLB01.9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB01	mag	Site VGP, coord system = 100 component: hem	100	3.4	1.8	10.5	188.5	9
1.0880e+03	3.0000e+00	Ma	2.2	270.8	443	25.2	539	47.5367	-90.9400	9	9	0	8.9851	i		This study	Two Island River	SLB01	SLB01.1a:SLB01.2a:SLB01.3a:SLB01.4a:SLB01.5a:SLB01.6a:SLB01.7a:SLB01.8a:SLB01.9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB01	hem	Site VGP, coord system = 100 component: hem	100	2.4	1.3	10.3	187.5	9
1.0880e+03	3.0000e+00	Ma	4.0	278.1	443	14.3	166	47.5367	-90.9400	9	9	0	8.9518	i		This study	Two Island River	SLB02	SLB02.1a:SLB02.2a:SLB02.3a:SLB02.4a:SLB02.5a:SLB02.6a:SLB02.7a:SLB02.8a:SLB02.9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB02	mag	Site VGP, coord system = 100 component: hem	0	4.1	2.1	10.8	178.0	9
1.0880e+03	3.0000e+00	Ma	3.8	275.2	443	12.2	186	47.5367	-90.9400	9	9	0	8.9571	i		This study	Two Island River	SLB02	SLB02.1a:SLB02.2a:SLB02.3a:SLB02.4a:SLB02.5a:SLB02.6a:SLB02.7a:SLB02.8a:SLB02.9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB02	hem	Site VGP, coord system = 100 component: hem	0	3.9	2.0	8.1	179.4	9
1.0880e+03	3.0000e+00	Ma	4.0	274.2	443	28.1	165	47.5367	-90.9400	9	9	0	8.9516	i		This study	Two Island River	SLB02	SLB02.1a:SLB02.2a:SLB02.3a:SLB02.4a:SLB02.5a:SLB02.6a:SLB02.7a:SLB02.8a:SLB02.9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB02	mag	Site VGP, coord system = 100 component: hem	100	4.4	2.4	13.8	186.3	9
1.0880e+03	3.0000e+00	Ma	3.8	271.6	443	25.5	187	47.5367	-90.9400	9	9	0	8.9572	i		This study	Two Island River	SLB02	SLB02.1a:SLB02.2a:SLB02.3a:SLB02.4a:SLB02.5a:SLB02.6a:SLB02.7a:SLB02.8a:SLB02.9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB02	hem	Site VGP, coord system = 100 component: hem	100	4.1	2.2	10.9	187.1	9
1.0880e+03	3.0000e+00	Ma	3.9	295.0	443	35.3	201	47.5344	-90.9350	8	8	0	7.9651	i		This study	Two Island River	SLB03	SLB03.1a:SLB03.2a:SLB03.3a:SLB03.4a:SLB03.5a:SLB03.6a:SLB03.7a:SLB03.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB03	mag	Site VGP, coord system = 100 component: hem	0	4.5	2.6	31.0	174.5	8
1.0880e+03	3.0000e+00	Ma	4.7	296.3	443	35.5	142	47.5344	-90.9350	8	8	0	7.9506	i		This study	Two Island River	SLB03	SLB03.1a:SLB03.2a:SLB03.3a:SLB03.4a:SLB03.5a:SLB03.6a:SLB03.7a:SLB03.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB03	hem	Site VGP, coord system = 100 component: hem	0	5.4	3.1	32.0	173.6	8
