,citations,dir_alpha95,dir_dec,dir_inc,dir_k,dir_n_samples,dir_polarity,dir_tilt_correction,geologic_classes,geologic_types,lat,lithologies,location,lon,result_type,site,method_codes,paleolatitude,vgp_lat,vgp_lon,vgp_lat_rev,vgp_lon_rev
0,This study,7.8,302.8,40.8,51.9,8,n,100,Extrusive,Lava Flow,47.28,Basalt,Keweenaw Peninsula,-88.41,i,H_PL01,LT-T-Z,23.3444686096,38.9426029459,174.457357906,-38.9426029459,354.457357906
1,This study,11.8,291.5,32.3,23.2,8,n,100,Extrusive,Lava Flow,47.3,Basalt,Keweenaw Peninsula,-88.4,i,H_PL02,LT-T-Z,17.5410619178,27.2893633339,178.21762788,-27.2893633339,358.21762788
2,This study,7.0,274.3,45.7,63.4,8,n,100,Extrusive,Lava Flow,47.31,Basalt,Keweenaw Peninsula,-88.38,i,H_PL03,LT-T-Z,27.1291965505,22.3596187395,197.956680782,-22.3596187395,17.956680782
3,This study,10.4,270.3,26.7,34.7,7,n,100,Extrusive,Lava Flow,47.31,Basalt,Keweenaw Peninsula,-88.38,i,H_PL04,LT-T-Z,14.1156912681,10.5272556175,191.081995748,-10.5272556175,11.0819957482
4,This study,15.7,298.2,32.3,19.3,6,n,100,Extrusive,Lava Flow,47.32,Basalt,Keweenaw Peninsula,-88.38,i,H_PL05,LT-T-Z,17.5410619178,31.8039711138,173.030461627,-31.8039711138,353.030461627
5,This study,13.8,302.6,22.2,20.1,7,n,100,Extrusive,Lava Flow,47.32,Basalt,Keweenaw Peninsula,-88.37,i,H_PL06,LT-T-Z,11.5326727939,30.3205314983,164.618126178,-30.3205314983,344.618126178
6,This study,8.0,306.4,15.5,71.1,6,n,100,Extrusive,Lava Flow,47.43,Basalt,Keweenaw Peninsula,-88.21,i,H_PL07,LT-T-Z,7.89442384675,29.9198414204,158.695772028,-29.9198414204,338.695772028
7,This study,7.2,276.0,41.1,71.4,7,n,100,Extrusive,Lava Flow,47.19,Basalt,Keweenaw Peninsula,-88.48,i,H_PL08,LT-T-Z,23.5657611206,21.0025186036,193.978787713,-21.0025186036,13.9787877128
8,This study,13.3,296.5,35.8,34.2,5,n,100,Extrusive,Lava Flow,47.39,Basalt,Keweenaw Peninsula,-88.03,i,H_PL10,LT-T-Z,19.8298804932,32.2646642877,176.591544439,-32.2646642877,356.591544439
9,This study,10.9,291.0,40.9,50.2,5,n,100,Extrusive,Lava Flow,47.34,Basalt,Keweenaw Peninsula,-88.34,i,H_PL11,LT-T-Z,23.4180918539,31.0050825014,183.497981223,-31.0050825014,3.49798122304
10,This study,14.0,316.2,49.8,30.6,5,n,100,Extrusive,Lava Flow,47.14,Basalt,Keweenaw Peninsula,-88.58,i,H_PL12,LT-T-Z,30.611534093,52.7301992434,171.054306222,-52.7301992434,351.054306222
11,This study,12.6,270.0,39.6,23.9,7,n,100,Extrusive,Lava Flow,47.39,Basalt,Keweenaw Peninsula,-88.27,i,H_PL13,LT-T-Z,22.4717472199,16.338502081,197.374020314,-16.338502081,17.3740203144
12,This study,5.4,288.9,28.8,93.1,9,n,100,Extrusive,Lava Flow,47.43,Basalt,Keweenaw Peninsula,-87.98,i,H_PL14,LT-T-Z,15.3697165203,23.9841541312,178.837920958,-23.9841541312,358.837920958
13,This study,4.9,280.3,44.0,128.1,8,n,100,Extrusive,Lava Flow,47.42,Basalt,Keweenaw Peninsula,-88.1,i,H_PL15,LT-T-Z,25.7733127687,25.4112374541,193.11284127,-25.4112374541,13.1128412699
14,This study,4.4,280.2,27.0,159.5,8,n,100,Extrusive,Lava Flow,47.4,Basalt,Keweenaw Peninsula,-88.28,i,H_PL16,LT-T-Z,14.2927862846,17.3302954871,184.168882784,-17.3302954871,4.16888278386
15,This study,7.1,298.1,44.3,73.4,7,n,100,Extrusive,Lava Flow,47.37,Basalt,Keweenaw Peninsula,-88.16,i,H_PL17,LT-T-Z,26.0091163062,37.5407036384,180.795190722,-37.5407036384,0.795190722197
16,This study,11.7,283.1,18.6,23.3,8,n,100,Extrusive,Lava Flow,47.08,Basalt,Keweenaw Peninsula,-88.64,i,H_PL19,LT-T-Z,9.55160179413,15.8857574319,178.339639881,-15.8857574319,358.339639881
