tab 	sites
bed_dip	bed_dip_direction	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_tilt_correction	lat	lon	member	site	vgp_lat	vgp_lon
38	356	3.8	300.3	34.1	240	9	100	47.46	-88.07	Middle LST	CS1	34	172.5
38	356	2.7	297	37.9	803	6	100	47.46	-88.07	Middle LST	CS2	33.6	177.4
38	356	3	280.4	48.1	185	9	100	47.46	-88.07	Middle LST	SI1	27.7	195.8
38	356	5	272.4	45.8	163	6	100	47.46	-88.07	Middle LST	SI2	21.2	199.5
38	356	4	279.9	43.5	620	6	100	47.46	-88.07	Middle LST	SI3	24.9	193.1
38	356	2.3	275.5	48.1	681	8	100	47.46	-88.07	Middle LST	SI4	24.5	199
38	356	6.4	276.6	44.7	630	6	100	47.46	-88.07	Middle LST	SI5	23.4	196
38	356	2.5	269.8	40.3	228	7	100	47.46	-88.07	Middle LST	SI6	16.6	198.1
38	356	6.2	285.3	43.1	582	4	100	47.46	-88.07	Middle LST	SI7	28.3	189.1
38	356	3.8	279	40.1	207	6	100	47.46	-88.07	Middle LST	SI8	22.5	191.7
38	356	2.5	275.9	47.1	206	7	100	47.46	-88.07	Middle LST	SI9	24.2	198.1
38	356	3.9	274.2	42.4	863	10	100	47.46	-88.07	Middle LST	SI10	20.6	196.3
24	22	4.3	291.2	38.3	153	6	100	47.43	-87.71	Middle LST	LST12	29.9	182.3
24	22	4.1	279.7	45.7	160	6	100	47.43	-87.71	Middle LST	LST14	25.9	195
24	22	3.2	281.1	42.6	142	6	100	47.43	-87.71	Middle LST	LST15	25.2	192.1
24	22	6.6	280.8	41.1	85	7	100	47.43	-87.71	Middle LST	LST18	24.2	191.4
24	22	5.8	272.3	42	133	6	100	47.43	-87.71	Middle LST	LST22	19.1	197.7
24	22	2.5	269.4	36	481	6	100	47.43	-87.71	Middle LST	LST24	14.2	196.5
24	22	6	279.1	43.9	104	6	100	47.43	-87.71	Middle LST	LST25	24.6	194.2
24	22	4.9	276.9	36.8	159	8	100	47.43	-87.71	Middle LST	LST28	19.5	191.7
24	22	5.1	268.4	36.6	144	6	100	47.43	-87.71	Middle LST	LST30	13.8	197.5
