tab 	pmag_results
average_age_high	average_age_low	average_age_unit	average_alpha95	average_dec	average_inc	average_k	average_lat	average_lon	average_n	average_nn	average_r	conglomerate_test	contact_test	data_type	er_citation_names	er_location_names	er_site_names	external_database_ids	external_database_names	fold_test	fold_test_significance	magic_method_codes	percent_reversed	pmag_result_name	pole_comp_name	result_description	reversal_test	rock_magnetic_test	tilt_alpha95_corr	tilt_alpha95_uncorr	tilt_correction	tilt_dec_corr	tilt_dec_uncorr	tilt_inc_corr	tilt_inc_uncorr	tilt_k_corr	tilt_k_ratio	tilt_k_uncorr	tilt_n	vgp_alpha95	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n
1100	1084	Ma	10.9	297.3	45.5	28.4	47.7	274.3	8	43	7.753	ND	ND	a	This study	Mamainse Point Formation, Michipicoten Island	19 : 7 : 8 : 22 : 10 : 9 : 23 : KM	944	GPMDB	Fo	70	LP-DC4:DE-VGP:LT-AF-Z:LT-T-Z	0	Mamainse Point Formation Pole	Characteristic	AF to 100mT, thermal to 680C.	ND	ND	10.9	12.5	100	297.3	316.3	45.5	23.9	28.4	1.38	20.6	8	11	11	11	38	186	8
1088	1070	Ma	8.5	293.8	23.8	24.8	47.7	274.3	13	58	12.516	ND	ND	a	This study	Michipicoten Island Formation	1 : 24 : 12 : 25 : 3 : 13 : 2 : 4 : 14 : 5 : 16 : 15 : 17	945	GPMDB	Fo	65	LP-DC4:DE-VGP:LT-AF-Z:LT-T-Z	0	Michipicoten Island Formation Pole	Characteristic	AF to 100mT, thermal to 680C.	ND	ND	8.5	9.2	100	293.8	299.4	23.8	12.1	24.8	1.17	21.2	13	7	7	7	26	175	13
1088	1070	Ma	31.1	298.2	13.4	16.8	47.7	274.3	3	13	2.881	ND	ND	a	This study	Michipicoten Island Intrusive	20 : 21 : 6	946	GPMDB	Fo	55	DE-VGP:LP-DC4:LT-AF-Z:LT-T-Z	0	Intrusive Units Pole	Characteristic	AF to 100mT, thermal to 680C. .	ND	ND	31.1	34.7	100	298.2	298.5	13.4	-7.7	16.8	1.24	13.6	3	22	22	22	24	166	3
			17.7	288	-3	28	47.75	274.4	1	4	3.892	ND	ND	i	This study	Michipicoten Island Intrusive	20			Fo		FS-LOC-GOOGLE:LP-DC4:LT-AF-Z:LT-T-Z		VGP : Site 20	Characteristic		ND	ND			100												10.8417217763994	169.718215375649	1
			7.8	313	12	140	47.79	274.18	1	4	3.979	ND	ND	i	This study	Michipicoten Island Intrusive	21			Fo		FS-LOC-GOOGLE:LP-DC4:LT-AF-Z:LT-T-Z		VGP : Site 21	Characteristic		ND	ND			100												32.2702010855988	153.60905910426	1
			13	297	25	36	47.73	274.04	1	5	4.888	ND	ND	i	This study	Michipicoten Island Intrusive	6			Fo		FS-LOC-GOOGLE:LP-DC4:LT-AF-Z:LT-T-Z		VGP : Site 6	Characteristic		ND	ND			100												27.7329911913953	172.692947036611	1
			3.2	321	33	809	47.8	274.25	1	4	3.996	ND	ND	i	This study	Mamainse Point Formation, Michipicoten Island	19			Fo		FS-LOC-GOOGLE:LP-DC4:LT-AF-Z:LT-T-Z		VGP : Site 19	Characteristic		ND	ND			100												46.4930051435144	154.643163102887	1
			13.4	217	47	26	47.79	274.28	1	6	5.808	ND	ND	i	This study	Mamainse Point Formation, Michipicoten Island	18			Fo		FS-LOC-GOOGLE:LP-DC4:LT-AF-Z:LT-T-Z		VGP : Site 18	Characteristic		ND	ND			100												-7.05778485929531	241.974491074657	1
			8.4	277	61	52	47.75	274.07	1	5	6.886	ND	ND	i	This study	Mamainse Point Formation, Michipicoten Island	7			Fo		FS-LOC-GOOGLE:LP-DC4:LT-AF-Z:LT-T-Z		VGP : Site 7	Characteristic		ND	ND			100												33.8236814710932	211.551565985825	1
			11.9	299	30	33	47.74	274.4	1	4	5.847	ND	ND	i	This study	Mamainse Point Formation, Michipicoten Island	8			Fo		FS-LOC-GOOGLE:LP-DC4:LT-AF-Z:LT-T-Z		VGP : Site 8	Characteristic		ND	ND			100												31.2322870700614	173.737070205175	1
			3.4	270	46	399	47.73	274.38	1	4	5.987	ND	ND	i	This study	Mamainse Point Formation, Michipicoten Island	22			Fo		FS-LOC-GOOGLE:LP-DC4:LT-AF-Z:LT-T-Z		VGP : Site 22	Characteristic		ND	ND			100												19.8913040851909	203.581278641348	1
			3	300	41	508	47.71	274.06	1	5	5.99	ND	ND	i	This study	Mamainse Point Formation, Michipicoten Island	10			Fo		FS-LOC-GOOGLE:LP-DC4:LT-AF-Z:LT-T-Z		VGP : Site 10	Characteristic		ND	ND			100												37.1162330477546	178.952172828268	1
			3.3	296	54	537	47.73	274.39	1	4	4.993	ND	ND	i	This study	Mamainse Point Formation, Michipicoten Island	9			Fo		FS-LOC-GOOGLE:LP-DC4:LT-AF-Z:LT-T-Z		VGP : Site 9	Characteristic		ND	ND			100												41.4836315362661	193.150557951204	1
