tab 	measurements
citations	dir_dec	dir_inc	experiment	magn_moment	meas_pos_z	method_codes	number	quality	specimen	standard	timestamp	treat_ac_field	treat_temp
This study	46.14940858	-5.499271066	SI1-12.5-D:NRM_demag(T,Hac)0	2.52E-06	0.067	LP-DIR-AF:LT-NO	756528	g	SI1-12.5-D	u	2011-08-06T17:44:03Z	0	300
This study	347.45825787	-31.12430153	SI1-12.55-D:NRM_demag(T,Hac)0	1.70E-05	0.267	LP-DIR-AF:LT-NO	756529	g	SI1-12.55-D	u	2011-08-06T17:44:19Z	0	300
This study	31.61130498	-14.94022605	SI1-13.0-D:NRM_demag(T,Hac)0	2.59E-06	0.467	LP-DIR-AF:LT-NO	756530	g	SI1-13.0-D	u	2011-08-06T17:44:34Z	0	300
This study	346.74586067	-47.01666564	SI1-13.4-D:NRM_demag(T,Hac)0	6.56E-06	0.667	LP-DIR-AF:LT-NO	756531	g	SI1-13.4-D	u	2011-08-06T17:44:49Z	0	300
This study	22.60993981	-48.74651286	SI1-14.2-D:NRM_demag(T,Hac)0	3.86E-06	0.867	LP-DIR-AF:LT-NO	756532	g	SI1-14.2-D	u	2011-08-06T17:45:04Z	0	300
This study	0.90653817	-64.69397972	SI1-14.4-D:NRM_demag(T,Hac)0	2.28E-05	1.067	LP-DIR-AF:LT-NO	756533	g	SI1-14.4-D	u	2011-08-06T17:45:19Z	0	300
This study	356.251754429	-39.14321825	SI1-14.9-D:NRM_demag(T,Hac)0	2.37E-05	1.267	LP-DIR-AF:LT-NO	756534	g	SI1-14.9-D	u	2011-08-06T17:45:34Z	0	300
This study	27.97264055	-21.52149215	SI1-12.5-D:NRM_demag(T,Hac)0	2.82E-06	0.067	LP-DIR-AF:LT-AF-Z	756535	g	SI1-12.5-D	u	2011-08-06T18:02:22Z	0.0025	300
This study	348.07117276	-32.0430273	SI1-12.55-D:NRM_demag(T,Hac)0	1.71E-05	0.267	LP-DIR-AF:LT-AF-Z	756536	g	SI1-12.55-D	u	2011-08-06T18:02:37Z	0.0025	300
This study	19.28309208	-32.66851336	SI1-13.0-D:NRM_demag(T,Hac)0	2.82E-06	0.467	LP-DIR-AF:LT-AF-Z	756537	g	SI1-13.0-D	u	2011-08-06T18:02:52Z	0.0025	300
This study	356.466623003	-46.54563183	SI1-13.4-D:NRM_demag(T,Hac)0	6.69E-06	0.667	LP-DIR-AF:LT-AF-Z	756538	g	SI1-13.4-D	u	2011-08-06T18:03:07Z	0.0025	300
This study	14.87416203	-54.75350169	SI1-14.2-D:NRM_demag(T,Hac)0	4.42E-06	0.867	LP-DIR-AF:LT-AF-Z	756539	g	SI1-14.2-D	u	2011-08-06T18:03:22Z	0.0025	300
This study	357.945959516	-64.26812849	SI1-14.4-D:NRM_demag(T,Hac)0	2.33E-05	1.067	LP-DIR-AF:LT-AF-Z	756540	g	SI1-14.4-D	u	2011-08-06T18:03:37Z	0.0025	300
This study	356.947732373	-38.02921676	SI1-14.9-D:NRM_demag(T,Hac)0	2.38E-05	1.267	LP-DIR-AF:LT-AF-Z	756541	g	SI1-14.9-D	u	2011-08-06T18:03:53Z	0.0025	300
This study	4.077541336	-31.591519	SI1-12.5-D:NRM_demag(T,Hac)0	4.01E-06	0.067	LP-DIR-AF:LT-AF-Z	756542	g	SI1-12.5-D	u	2011-08-06T18:07:39Z	0.0075	300
This study	347.44144579	-32.75748164	SI1-12.55-D:NRM_demag(T,Hac)0	1.71E-05	0.267	LP-DIR-AF:LT-AF-Z	756543	g	SI1-12.55-D	u	2011-08-06T18:07:54Z	0.0075	300
This study	11.92800271	-55.77176105	SI1-13.0-D:NRM_demag(T,Hac)0	3.25E-06	0.467	LP-DIR-AF:LT-AF-Z	756544	g	SI1-13.0-D	u	2011-08-06T18:08:10Z	0.0075	300
This study	351.504181445	-43.8446828	SI1-13.4-D:NRM_demag(T,Hac)0	6.61E-06	0.667	LP-DIR-AF:LT-AF-Z	756545	g	SI1-13.4-D	u	2011-08-06T18:08:25Z	0.0075	300
This study	1.62810589	-63.46414863	SI1-14.2-D:NRM_demag(T,Hac)0	4.51E-06	0.867	LP-DIR-AF:LT-AF-Z	756546	g	SI1-14.2-D	u	2011-08-06T18:08:40Z	0.0075	300
This study	355.431857561	-64.10272409	SI1-14.4-D:NRM_demag(T,Hac)0	2.31E-05	1.067	LP-DIR-AF:LT-AF-Z	756547	g	SI1-14.4-D	u	2011-08-06T18:08:55Z	0.0075	300
This study	356.189954881	-37.00268836	SI1-14.9-D:NRM_demag(T,Hac)0	2.32E-05	1.267	LP-DIR-AF:LT-AF-Z	756548	g	SI1-14.9-D	u	2011-08-06T18:09:10Z	0.0075	300
