tab 	pmag_sites
er_citation_names	er_location_name	er_site_name	magic_method_codes
This study	Simpson Island	SI1(11.8 to 26.4)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI1(28.3 to 29.2)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI1(29.2 to 29.7)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI1(33.3 to 37.1)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI1(40.6 to 42.5)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI1(42.5 to 44.4)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI1(58.1 to 64.1)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI1(87.6 to 88.5)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI1(88.5 to 89.2)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI1(89.2 to 91.5)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI1(91.5 to 92.6)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI1(94.3 to 94.9)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI1(94.9 to 96.6)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI1(116.3 to 118.8)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI1(119.7 to 122.1)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI1(122.1 to 123.7)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI2a(1.1 to 1.6)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI2a(10.2 to 12.8)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI2b(2.2 to 2.6)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI2b(10.5 to 10.6)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI2c(0.0 to 2.1)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI2c(2.1 to 18.6)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI3(2.3 to 5.5)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI3(5.5 to 12.5)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI3(12.5 to 20.1)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI3(20.1 to 28.9)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI3(36.9 to 48.4)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI3(55.8 to 60.9)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI3(103.3 to 110.3)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI3(124.8 to 130.4)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI9(0.0 to 9.2)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI9(12.0 to 21.2)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI9(66.9 to 84.0)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI9(84.0 to 88.9)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI9(139.8 to 160.0)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI9(160.0 to 166.5)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI9(166.5 to 171.4)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI9(171.4 to 188.8)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI9(312.1 to 321.0)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI9(336.4 to 353.8)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI9(375.9 to 381.0)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI9(387.6 to 395.3)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI9(395.3 to 399.3)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI4(0.0 to 13.8)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI4(13.8 to 20.2)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI4(21.4 to 30.0)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI4(39.7 to 44.7)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI4(72.3 to 74.6)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI4(74.6 to 80.0)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI4(80.2 to 100.7)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI4(106.0 to 121.4)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI4(121.4 to 127.3)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI4(133.8 to 143.1)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI4(160.4 to 171.1)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI8(0.0 to 3.9)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI8(3.9 to 19.3)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI8(19.3 to 45.0)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI8(47.5 to 56.7)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI8(62.9 to 84.4)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI8(84.4 to 102.6)	LP-DC4:LP-DIR-AF
