tab 	pmag_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_instrument_codes	magic_method_codes	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_dec	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
This study	Simpson Island	SI1-12.5	SI1(11.8 to 26.4)	SI1-12.5-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.025	T	112.5	-80.4	2.2	6	0
This study	Simpson Island	SI1-12.5	SI1(11.8 to 26.4)	SI1-12.5-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.025	T	69.2	-71.9	2.2	6	100
This study	Simpson Island	SI1-12.55	SI1(11.8 to 26.4)	SI1-12.55-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.025	T	132.1	-74.8	1.3	7	0
This study	Simpson Island	SI1-12.55	SI1(11.8 to 26.4)	SI1-12.55-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.025	T	90.9	-70.7	1.3	7	100
This study	Simpson Island	SI1-13.0	SI1(11.8 to 26.4)	SI1-13.0-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.02	T	122.1	-75.7	7.7	7	0
This study	Simpson Island	SI1-13.0	SI1(11.8 to 26.4)	SI1-13.0-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.02	T	83.4	-69.7	7.7	7	100
This study	Simpson Island	SI1-13.4	SI1(11.8 to 26.4)	SI1-13.4-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.02	T	121.6	-74.8	1.3	7	0
This study	Simpson Island	SI1-13.4	SI1(11.8 to 26.4)	SI1-13.4-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.02	T	84.8	-69	1.3	7	100
This study	Simpson Island	SI1-14.2	SI1(11.8 to 26.4)	SI1-14.2-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.02	T	130.4	-82.3	3.5	7	0
This study	Simpson Island	SI1-14.2	SI1(11.8 to 26.4)	SI1-14.2-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.02	T	69.7	-75.2	3.5	7	100
This study	Simpson Island	SI1-14.4	SI1(11.8 to 26.4)	SI1-14.4-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.02	T	117.1	-74.9	0.3	8	0
This study	Simpson Island	SI1-14.4	SI1(11.8 to 26.4)	SI1-14.4-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.02	T	82	-68.3	0.3	8	100
This study	Simpson Island	SI1-14.9	SI1(11.8 to 26.4)	SI1-14.9-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.02	T	107.5	-76.1	0.5	8	0
This study	Simpson Island	SI1-14.9	SI1(11.8 to 26.4)	SI1-14.9-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.02	T	74.9	-68	0.5	8	100
This study	Simpson Island	SI1-28.68	SI1(28.3 to 29.2)	SI1-28.68-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.03	T	141.3	-64.1	1.1	7	0
This study	Simpson Island	SI1-28.68	SI1(28.3 to 29.2)	SI1-28.68-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.03	T	114.2	-64	1.1	7	100
This study	Simpson Island	SI1-28.7	SI1(28.3 to 29.2)	SI1-28.7-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.03	T	136.9	-65.8	1.6	7	0
This study	Simpson Island	SI1-28.7	SI1(28.3 to 29.2)	SI1-28.7-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.03	T	108.6	-64.6	1.6	7	100
This study	Simpson Island	SI1-28.8	SI1(28.3 to 29.2)	SI1-28.8-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.03	T	158.4	-65.9	0.4	7	0
This study	Simpson Island	SI1-28.8	SI1(28.3 to 29.2)	SI1-28.8-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.03	T	127.5	-69.3	0.4	7	100
This study	Simpson Island	SI1-28.9	SI1(28.3 to 29.2)	SI1-28.9-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.03	T	145.4	-71	0.4	7	0
This study	Simpson Island	SI1-28.9	SI1(28.3 to 29.2)	SI1-28.9-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.03	T	107	-70.6	0.4	7	100
This study	Simpson Island	SI1-29.0	SI1(28.3 to 29.2)	SI1-29.0-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.03	T	144	-63.3	0.2	7	0
This study	Simpson Island	SI1-29.0	SI1(28.3 to 29.2)	SI1-29.0-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.03	T	117.5	-64	0.2	7	100
This study	Simpson Island	SI1-29.1	SI1(28.3 to 29.2)	SI1-29.1-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.12	0.035	T	123.3	-71.2	0.3	7	0
This study	Simpson Island	SI1-29.1	SI1(28.3 to 29.2)	SI1-29.1-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.12	0.035	T	91.3	-66.5	0.3	7	100
This study	Simpson Island	SI1-29.2	SI1(28.3 to 29.2)	SI1-29.2-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.12	0.035	T	133.9	-68.3	0.4	7	0
This study	Simpson Island	SI1-29.2	SI1(28.3 to 29.2)	SI1-29.2-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.12	0.035	T	102.9	-66.1	0.4	7	100
This study	Simpson Island	SI1-29.15	SI1(29.2 to 29.7)	SI1-29.15-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.145	0.04	T	77.8	-71	1.4	7	0
This study	Simpson Island	SI1-29.15	SI1(29.2 to 29.7)	SI1-29.15-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.145	0.04	T	62.5	-59.9	1.4	7	100
This study	Simpson Island	SI1-29.24	SI1(29.2 to 29.7)	SI1-29.24-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.12	0.03	T	137.2	-71.7	1.4	8	0
This study	Simpson Island	SI1-29.24	SI1(29.2 to 29.7)	SI1-29.24-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.12	0.03	T	100	-69.4	1.4	8	100
This study	Simpson Island	SI1-29.25	SI1(29.2 to 29.7)	SI1-29.25-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.12	0.04	T	125.4	-69.9	0.4	6	0
This study	Simpson Island	SI1-29.25	SI1(29.2 to 29.7)	SI1-29.25-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.12	0.04	T	94.5	-65.7	0.4	6	100
This study	Simpson Island	SI1-29.4	SI1(29.2 to 29.7)	SI1-29.4-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.03	T	131.5	-65.6	0.4	7	0
This study	Simpson Island	SI1-29.4	SI1(29.2 to 29.7)	SI1-29.4-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.03	T	104.3	-63.3	0.4	7	100
This study	Simpson Island	SI1-33.4	SI1(33.3 to 37.1)	SI1-33.4a	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.04	T	99.7	-71.6	3.4	5	0
This study	Simpson Island	SI1-33.4	SI1(33.3 to 37.1)	SI1-33.4a	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.04	T	75.6	-63	3.4	5	100
This study	Simpson Island	SI1-34.2	SI1(33.3 to 37.1)	SI1-34.2a	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.17	0.02	T	169.7	-77	1.4	8	0
This study	Simpson Island	SI1-34.2	SI1(33.3 to 37.1)	SI1-34.2a	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.17	0.02	T	104.4	-79.4	1.4	8	100
This study	Simpson Island	SI1-34.7	SI1(33.3 to 37.1)	SI1-34.7a	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.02	T	124.1	-72.5	0.8	10	0
This study	Simpson Island	SI1-34.7	SI1(33.3 to 37.1)	SI1-34.7a	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.02	T	89.8	-67.7	0.8	10	100
This study	Simpson Island	SI1-34.75	SI1(33.3 to 37.1)	SI1-34.75a	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.03	T	130	-68.9	1	8	0
