tab 	samples
azimuth	citations	description	dip	dir_dec	dir_inc	dir_n_specimens	dir_n_specimens_lines	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	lon	method_codes	sample	site	specimens
271.0	This study	oriented core	-92	73.0	-72.7	1	1	100	Extrusive:Igneous	Lava Flow	48.8062	Basalt	272.3366	FS-FD:SO-CMD-NORTH:SO-POM	SI1-116.9	SI1(116.3 to 118.8)	SI1-116.9a
264.0	This study	oriented core	-85	56.8	-66.2	1	1	100	Extrusive:Igneous	Lava Flow	48.8062	Basalt	272.3366	FS-FD:SO-CMD-NORTH:SO-POM	SI1-116.95	SI1(116.3 to 118.8)	SI1-116.95a
11.0	This study	oriented core	-20	90.7	-68.9	1	1	100	Extrusive:Igneous	Lava Flow	48.8062	Basalt	272.3366	FS-FD:SO-CMD-NORTH:SO-POM	SI1-116.96	SI1(116.3 to 118.8)	SI1-116.96a
29.0	This study	oriented core	-18	53.7	-65.0	1	1	100	Extrusive:Igneous	Lava Flow	48.8062	Basalt	272.3366	FS-FD:SO-CMD-NORTH:SO-POM	SI1-116.97	SI1(116.3 to 118.8)	SI1-116.97a
251.0	This study	oriented core	-58	76.8	-75.5	1	1	100	Extrusive:Igneous	Lava Flow	48.8062	Basalt	272.3366	FS-FD:SO-CMD-NORTH:SO-POM	SI1-117.05	SI1(116.3 to 118.8)	SI1-117.05a
278.0	This study	oriented core	-80	99.7	-68.3	1	1	100	Extrusive:Igneous	Lava Flow	48.8062	Basalt	272.3366	FS-FD:SO-CMD-NORTH:SO-POM	SI1-117.2	SI1(116.3 to 118.8)	SI1-117.2a
266.0	This study	oriented core	-63	69.2	-71.9	1	1	100	Extrusive:Igneous	Lava Flow	48.8122	Basalt	272.338	FS-FD:SO-CMD-NORTH:SO-POM	SI1-12.5	SI1(11.8 to 26.4)	SI1-12.5-D
186.0	This study	oriented core	-47	90.9	-70.7	1	1	100	Extrusive:Igneous	Lava Flow	48.8122	Basalt	272.338	FS-FD:SO-CMD-NORTH:SO-POM	SI1-12.55	SI1(11.8 to 26.4)	SI1-12.55-D
310.0	This study	oriented core	-25						Extrusive:Igneous	Lava Flow	48.8122	Basalt	272.338	FS-FD:SO-CMD-NORTH:SO-POM	SI1-12.95	SI1(11.8 to 26.4)	
253.0	This study	oriented core	-64	62.9	-72.9	1	1	100	Extrusive:Igneous	Lava Flow	48.806	Basalt	272.3366	FS-FD:SO-CMD-NORTH:SO-POM	SI1-120.4	SI1(119.7 to 122.1)	SI1-120.4a
254.0	This study	oriented core	-70	73.3	-70.7	1	1	100	Extrusive:Igneous	Lava Flow	48.806	Basalt	272.3366	FS-FD:SO-CMD-NORTH:SO-POM	SI1-120.42	SI1(119.7 to 122.1)	SI1-120.42a
255.0	This study	oriented core	-72	103.8	-62.8	1	1	100	Extrusive:Igneous	Lava Flow	48.806	Basalt	272.3366	FS-FD:SO-CMD-NORTH:SO-POM	SI1-120.45	SI1(119.7 to 122.1)	SI1-120.45a
223.0	This study	oriented core	-30	95.5	-68.2	1	1	100	Extrusive:Igneous	Lava Flow	48.806	Basalt	272.3366	FS-FD:SO-CMD-NORTH:SO-POM	SI1-120.5	SI1(119.7 to 122.1)	SI1-120.5a
297.0	This study	oriented core	-16	91.0	-66.5	1	1	100	Extrusive:Igneous	Lava Flow	48.806	Basalt	272.3366	FS-FD:SO-CMD-NORTH:SO-POM	SI1-120.52	SI1(119.7 to 122.1)	SI1-120.52a
243.0	This study	oriented core	-14	51.9	-57.3	1	1	100	Extrusive:Igneous	Lava Flow	48.806	Basalt	272.3366	FS-FD:SO-CMD-NORTH:SO-POM	SI1-120.6	SI1(119.7 to 122.1)	SI1-120.6a
192.0	This study	oriented core	-79	64.5	-73.2	1	1	100	Extrusive:Igneous	Lava Flow	48.8058	Basalt	272.3367	FS-FD:SO-CMD-NORTH:SO-POM	SI1-122.4	SI1(122.1 to 123.7)	SI1-122.4a
305.0	This study	oriented core	-7	59.5	-68.9	1	1	100	Extrusive:Igneous	Lava Flow	48.8058	Basalt	272.3367	FS-FD:SO-CMD-NORTH:SO-POM	SI1-122.5	SI1(122.1 to 123.7)	SI1-122.5a
227.0	This study	oriented core	-32	79.5	-61.4	1	1	100	Extrusive:Igneous	Lava Flow	48.8058	Basalt	272.3367	FS-FD:SO-CMD-NORTH:SO-POM	SI1-122.65	SI1(122.1 to 123.7)	SI1-122.65a
