tab 	magic_measurements																							
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	Agate Point	AP1-1	AP1	AP1-1a	AP1-1a:LP-DIR-T	hargrave 2016-04-08 16:13:53	LT-NO:LP-DIR-T	pmagpy-3.4.0	1.5	302.8		g	-56.9	3.34E-05	1	1	7.87E-07	4.07E-07	3.70E-07	u	273	0	0	273
This study	Agate Point	AP1-1	AP1	AP1-1a	AP1-1a:LP-DIR-T	hargrave 2016-04-11 16:31:39	LT-LT-Z:LP-DIR-T	pmagpy-3.4.0	2.1	301.6		g	-57	3.30E-05	2	1	1.09E-06	5.27E-07	3.71E-07	u	273	0	0	77
This study	Agate Point	AP1-1	AP1	AP1-1a	AP1-1a:LP-DIR-T	hargrave 2016-04-18 09:19:17	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2	303.2		g	-57	3.30E-05	3	1	1.03E-06	5.07E-07	3.67E-07	u	273	0	0	373
This study	Agate Point	AP1-1	AP1	AP1-1a	AP1-1a:LP-DIR-T	hargrave 2016-04-18 16:34:42	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.4	305.6		g	-57.1	3.34E-05	4	1	7.11E-07	4.14E-07	3.58E-07	u	273	0	0	473
This study	Agate Point	AP1-1	AP1	AP1-1a	AP1-1a:LP-DIR-T	hargrave 2016-04-19 12:21:57	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.1	303.4		g	-57.3	3.13E-05	5	1	4.47E-07	4.19E-07	3.31E-07	u	273	0	0	573
This study	Agate Point	AP1-1	AP1	AP1-1a	AP1-1a:LP-DIR-T	hargrave 2016-04-25 11:56:05	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.7	308.5		g	-57	2.55E-05	6	1	6.25E-07	4.17E-07	4.02E-07	u	273	0	0	623
This study	Agate Point	AP1-1	AP1	AP1-1a	AP1-1a:LP-DIR-T	hargrave 2016-04-26 08:51:24	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.3	307.6		g	-57.4	2.22E-05	7	1	7.67E-07	4.51E-07	3.23E-07	u	273	0	0	673
This study	Agate Point	AP1-1	AP1	AP1-1a	AP1-1a:LP-DIR-T	hargrave 2016-04-26 16:20:18	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.8	306.1		g	-56.8	1.99E-05	8	1	5.08E-07	3.54E-07	2.64E-07	u	273	0	0	723
This study	Agate Point	AP1-1	AP1	AP1-1a	AP1-1a:LP-DIR-T	hargrave 2016-05-02 13:14:36	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.4	307.3		g	-57.1	1.81E-05	9	1	3.46E-07	2.65E-07	1.94E-07	u	273	0	0	748
This study	Agate Point	AP1-1	AP1	AP1-1a	AP1-1a:LP-DIR-T	hargrave 2016-05-02 19:37:35	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.1	306.7		g	-57.5	1.66E-05	10	1	5.32E-07	2.95E-07	2.55E-07	u	273	0	0	773
This study	Agate Point	AP1-1	AP1	AP1-1a	AP1-1a:LP-DIR-T	hargrave 2016-05-03 18:30:33	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.8	306.3		g	-57.2	1.47E-05	11	1	4.14E-07	2.21E-07	1.96E-07	u	273	0	0	798
