name	row_number	problem_type	problem_col	error_message
AP1-1a:LP-DIR-T1	0	type	number	should be string
AP1-1a:LP-DIR-T2	1	type	number	should be string
AP1-1a:LP-DIR-T3	2	type	number	should be string
AP1-1a:LP-DIR-T4	3	type	number	should be string
AP1-1a:LP-DIR-T5	4	type	number	should be string
AP1-1a:LP-DIR-T6	5	type	number	should be string
AP1-1a:LP-DIR-T7	6	type	number	should be string
AP1-1a:LP-DIR-T8	7	type	number	should be string
AP1-1a:LP-DIR-T9	8	type	number	should be string
AP1-1a:LP-DIR-T10	9	type	number	should be string
AP1-1a:LP-DIR-T11	10	type	number	should be string
AP1-1a:LP-DIR-T12	11	type	number	should be string
AP1-1a:LP-DIR-T13	12	type	number	should be string
AP1-1a:LP-DIR-T14	13	type	number	should be string
AP1-1a:LP-DIR-T15	14	type	number	should be string
AP1-1a:LP-DIR-T16	15	type	number	should be string
AP1-2a:LP-DIR-T1	16	type	number	should be string
AP1-2a:LP-DIR-T2	17	type	number	should be string
AP1-2a:LP-DIR-T3	18	type	number	should be string
AP1-2a:LP-DIR-T4	19	type	number	should be string
AP1-2a:LP-DIR-T5	20	type	number	should be string
AP1-2a:LP-DIR-T6	21	type	number	should be string
AP1-2a:LP-DIR-T7	22	type	number	should be string
AP1-2a:LP-DIR-T8	23	type	number	should be string
AP1-2a:LP-DIR-T9	24	type	number	should be string
AP1-2a:LP-DIR-T10	25	type	number	should be string
AP1-2a:LP-DIR-T11	26	type	number	should be string
AP1-2a:LP-DIR-T12	27	type	number	should be string
AP1-2a:LP-DIR-T13	28	type	number	should be string
AP1-2a:LP-DIR-T14	29	type	number	should be string
AP1-2a:LP-DIR-T15	30	type	number	should be string
AP1-2a:LP-DIR-T16	31	type	number	should be string
AP1-3a:LP-DIR-T1	32	type	number	should be string
AP1-3a:LP-DIR-T2	33	type	number	should be string
AP1-3a:LP-DIR-T3	34	type	number	should be string
AP1-3a:LP-DIR-T4	35	type	number	should be string
AP1-3a:LP-DIR-T5	36	type	number	should be string
AP1-3a:LP-DIR-T6	37	type	number	should be string
AP1-3a:LP-DIR-T7	38	type	number	should be string
AP1-3a:LP-DIR-T8	39	type	number	should be string
AP1-3a:LP-DIR-T9	40	type	number	should be string
AP1-3a:LP-DIR-T10	41	type	number	should be string
AP1-3a:LP-DIR-T11	42	type	number	should be string
AP1-3a:LP-DIR-T12	43	type	number	should be string
AP1-3a:LP-DIR-T13	44	type	number	should be string
AP1-3a:LP-DIR-T14	45	type	number	should be string
AP1-3a:LP-DIR-T15	46	type	number	should be string
AP1-3a:LP-DIR-T16	47	type	number	should be string
AP1-4a:LP-DIR-T1	48	type	number	should be string
AP1-4a:LP-DIR-T2	49	type	number	should be string
AP1-4a:LP-DIR-T3	50	type	number	should be string
AP1-4a:LP-DIR-T4	51	type	number	should be string
AP1-4a:LP-DIR-T5	52	type	number	should be string
AP1-4a:LP-DIR-T6	53	type	number	should be string
AP1-4a:LP-DIR-T7	54	type	number	should be string
AP1-4a:LP-DIR-T8	55	type	number	should be string
AP1-4a:LP-DIR-T9	56	type	number	should be string
AP1-4a:LP-DIR-T10	57	type	number	should be string
AP1-4a:LP-DIR-T11	58	type	number	should be string
AP1-4a:LP-DIR-T12	59	type	number	should be string
AP1-4a:LP-DIR-T13	60	type	number	should be string
AP1-4a:LP-DIR-T14	61	type	number	should be string
AP1-4a:LP-DIR-T15	62	type	number	should be string
AP1-4a:LP-DIR-T16	63	type	number	should be string
AP1-5a:LP-DIR-T1	64	type	number	should be string
AP1-5a:LP-DIR-T2	65	type	number	should be string
AP1-5a:LP-DIR-T3	66	type	number	should be string
AP1-5a:LP-DIR-T4	67	type	number	should be string
AP1-5a:LP-DIR-T5	68	type	number	should be string
AP1-5a:LP-DIR-T6	69	type	number	should be string
AP1-5a:LP-DIR-T7	70	type	number	should be string
AP1-5a:LP-DIR-T8	71	type	number	should be string
AP1-5a:LP-DIR-T9	72	type	number	should be string
AP1-5a:LP-DIR-T10	73	type	number	should be string
AP1-5a:LP-DIR-T11	74	type	number	should be string
AP1-5a:LP-DIR-T12	75	type	number	should be string
AP1-5a:LP-DIR-T13	76	type	number	should be string
AP1-5a:LP-DIR-T14	77	type	number	should be string
AP1-5a:LP-DIR-T15	78	type	number	should be string
AP1-5a:LP-DIR-T16	79	type	number	should be string
