tab 	measurements
citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	location	magic_software_packages	magn_moment	measurement	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	method_codes	number	quality	specimen	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
This study		1.5	302.8	-56.9	AP1-1a:LP-DIR-T	hargrave 2016-04-08 16:13:53	Agate Point	pmagpy-3.4.1	3.34e-05	AP1-1a:LP-DIR-T1	1	7.87e-07	4.0700000000000003e-07	3.7e-07	u	273	LT-NO:LP-DIR-T	1	g	AP1-1a	0	0	0	-90	273
This study		2.1	301.6	-57.0	AP1-1a:LP-DIR-T	hargrave 2016-04-11 16:31:39	Agate Point	pmagpy-3.4.1	3.3e-05	AP1-1a:LP-DIR-T2	1	1.09e-06	5.27e-07	3.7100000000000003e-07	u	273	LT-LT-Z:LP-DIR-T	2	g	AP1-1a	0	0	0	-90	77
This study		2.0	303.2	-57.0	AP1-1a:LP-DIR-T	hargrave 2016-04-18 09:19:17	Agate Point	pmagpy-3.4.1	3.3e-05	AP1-1a:LP-DIR-T3	1	1.03e-06	5.070000000000001e-07	3.6700000000000004e-07	u	273	LT-T-Z:LP-DIR-T	3	g	AP1-1a	0	0	0	-90	373
This study		1.4	305.6	-57.1	AP1-1a:LP-DIR-T	hargrave 2016-04-18 16:34:42	Agate Point	pmagpy-3.4.1	3.34e-05	AP1-1a:LP-DIR-T4	1	7.11e-07	4.14e-07	3.5799999999999995e-07	u	273	LT-T-Z:LP-DIR-T	4	g	AP1-1a	0	0	0	-90	473
This study		1.1	303.4	-57.3	AP1-1a:LP-DIR-T	hargrave 2016-04-19 12:21:57	Agate Point	pmagpy-3.4.1	3.13e-05	AP1-1a:LP-DIR-T5	1	4.47e-07	4.19e-07	3.3100000000000004e-07	u	273	LT-T-Z:LP-DIR-T	5	g	AP1-1a	0	0	0	-90	573
This study		1.7	308.5	-57.0	AP1-1a:LP-DIR-T	hargrave 2016-04-25 11:56:05	Agate Point	pmagpy-3.4.1	2.55e-05	AP1-1a:LP-DIR-T6	1	6.25e-07	4.1700000000000004e-07	4.02e-07	u	273	LT-T-Z:LP-DIR-T	6	g	AP1-1a	0	0	0	-90	623
This study		2.3	307.6	-57.4	AP1-1a:LP-DIR-T	hargrave 2016-04-26 08:51:24	Agate Point	pmagpy-3.4.1	2.22e-05	AP1-1a:LP-DIR-T7	1	7.67e-07	4.51e-07	3.2299999999999997e-07	u	273	LT-T-Z:LP-DIR-T	7	g	AP1-1a	0	0	0	-90	673
This study		1.8	306.1	-56.8	AP1-1a:LP-DIR-T	hargrave 2016-04-26 16:20:18	Agate Point	pmagpy-3.4.1	1.99e-05	AP1-1a:LP-DIR-T8	1	5.079999999999999e-07	3.5399999999999997e-07	2.64e-07	u	273	LT-T-Z:LP-DIR-T	8	g	AP1-1a	0	0	0	-90	723
This study		1.4	307.3	-57.1	AP1-1a:LP-DIR-T	hargrave 2016-05-02 13:14:36	Agate Point	pmagpy-3.4.1	1.8100000000000003e-05	AP1-1a:LP-DIR-T9	1	3.46e-07	2.65e-07	1.94e-07	u	273	LT-T-Z:LP-DIR-T	9	g	AP1-1a	0	0	0	-90	748
This study		2.1	306.7	-57.5	AP1-1a:LP-DIR-T	hargrave 2016-05-02 19:37:35	Agate Point	pmagpy-3.4.1	1.66e-05	AP1-1a:LP-DIR-T10	1	5.32e-07	2.95e-07	2.55e-07	u	273	LT-T-Z:LP-DIR-T	10	g	AP1-1a	0	0	0	-90	773
This study		1.8	306.3	-57.2	AP1-1a:LP-DIR-T	hargrave 2016-05-03 18:30:33	Agate Point	pmagpy-3.4.1	1.47e-05	AP1-1a:LP-DIR-T11	1	4.14e-07	2.21e-07	1.96e-07	u	273	LT-T-Z:LP-DIR-T	11	g	AP1-1a	0	0	0	-90	798
This study		1.8	308.6	-57.8	AP1-1a:LP-DIR-T	hargrave 2016-05-12 14:11:06	Agate Point	pmagpy-3.4.1	1.24e-05	AP1-1a:LP-DIR-T12	1	3.4e-07	1.99e-07	1.92e-07	u	273	LT-T-Z:LP-DIR-T	12	g	AP1-1a	0	0	0	-90	823
This study		1.8	308.3	-56.9	AP1-1a:LP-DIR-T	hargrave 2016-05-16 11:51:52	Agate Point	pmagpy-3.4.1	1.05e-05	AP1-1a:LP-DIR-T13	1	2.8e-07	1.62e-07	1.66e-07	u	273	LT-T-Z:LP-DIR-T	13	g	AP1-1a	0	0	0	-90	833
This study		2.3	307.6	-57.3	AP1-1a:LP-DIR-T	hargrave 2016-05-16 17:52:28	Agate Point	pmagpy-3.4.1	8.91e-06	AP1-1a:LP-DIR-T14	1	3.2e-07	1.7e-07	1.41e-07	u	273	LT-T-Z:LP-DIR-T	14	g	AP1-1a	0	0	0	-90	843
This study		2.5	308.4	-57.3	AP1-1a:LP-DIR-T	hargrave 2016-05-17 14:09:37	Agate Point	pmagpy-3.4.1	7.73e-06	AP1-1a:LP-DIR-T15	1	2.84e-07	1.74e-07	1.1599999999999999e-07	u	273	LT-T-Z:LP-DIR-T	15	g	AP1-1a	0	0	0	-90	848
This study		1.6	309.7	-56.1	AP1-1a:LP-DIR-T	hargrave 2016-05-18 11:01:40	Agate Point	pmagpy-3.4.1	6.92e-06	AP1-1a:LP-DIR-T16	1	1.73e-07	1.0199999999999999e-07	9.400000000000001e-08	u	273	LT-T-Z:LP-DIR-T	16	g	AP1-1a	0	0	0	-90	853
This study		2.0	346.6	-76.9	AP1-2a:LP-DIR-T	hargrave 2016-04-08 16:15:33	Agate Point	pmagpy-3.4.1	2.18e-05	AP1-2a:LP-DIR-T1	1	7.340000000000001e-07	2.96e-07	2.07e-07	u	273	LT-NO:LP-DIR-T	1	g	AP1-2a	0	0	0	-90	273
This study		2.1	347.7	-76.9	AP1-2a:LP-DIR-T	hargrave 2016-04-11 16:33:18	Agate Point	pmagpy-3.4.1	2.1e-05	AP1-2a:LP-DIR-T2	1	7.33e-07	2.88e-07	2.07e-07	u	273	LT-LT-Z:LP-DIR-T	2	g	AP1-2a	0	0	0	-90	77
This study		2.0	347.5	-77.0	AP1-2a:LP-DIR-T	hargrave 2016-04-18 09:20:38	Agate Point	pmagpy-3.4.1	2.1e-05	AP1-2a:LP-DIR-T3	1	6.58e-07	2.86e-07	2.16e-07	u	273	LT-T-Z:LP-DIR-T	3	g	AP1-2a	0	0	0	-90	373
This study		2.0	344.6	-76.2	AP1-2a:LP-DIR-T	hargrave 2016-04-18 16:36:04	Agate Point	pmagpy-3.4.1	2.14e-05	AP1-2a:LP-DIR-T4	1	6.92e-07	2.98e-07	2.25e-07	u	273	LT-T-Z:LP-DIR-T	4	g	AP1-2a	0	0	0	-90	473
This study		2.0	345.0	-76.1	AP1-2a:LP-DIR-T	hargrave 2016-04-19 12:23:18	Agate Point	pmagpy-3.4.1	2.01e-05	AP1-2a:LP-DIR-T5	1	6.529999999999999e-07	2.77e-07	1.99e-07	u	273	LT-T-Z:LP-DIR-T	5	g	AP1-2a	0	0	0	-90	573
This study		2.5	345.0	-75.8	AP1-2a:LP-DIR-T	hargrave 2016-04-25 11:57:50	Agate Point	pmagpy-3.4.1	1.4400000000000001e-05	AP1-2a:LP-DIR-T6	1	5.629999999999999e-07	2.75e-07	2.39e-07	u	273	LT-T-Z:LP-DIR-T	6	g	AP1-2a	0	0	0	-90	623
This study		2.4	346.6	-76.0	AP1-2a:LP-DIR-T	hargrave 2016-04-26 08:53:03	Agate Point	pmagpy-3.4.1	1.29e-05	AP1-2a:LP-DIR-T7	1	5.04e-07	2.33e-07	2.1300000000000001e-07	u	273	LT-T-Z:LP-DIR-T	7	g	AP1-2a	0	0	0	-90	673
This study		2.6	342.7	-75.4	AP1-2a:LP-DIR-T	hargrave 2016-04-26 16:21:58	Agate Point	pmagpy-3.4.1	1.15e-05	AP1-2a:LP-DIR-T8	1	4.71e-07	2.33e-07	1.8100000000000002e-07	u	273	LT-T-Z:LP-DIR-T	8	g	AP1-2a	0	0	0	-90	723
This study		1.8	344.9	-75.6	AP1-2a:LP-DIR-T	hargrave 2016-05-02 13:16:15	Agate Point	pmagpy-3.4.1	1.0300000000000001e-05	AP1-2a:LP-DIR-T9	1	2.89e-07	1.7e-07	9.519999999999999e-08	u	273	LT-T-Z:LP-DIR-T	9	g	AP1-2a	0	0	0	-90	748
