tab 	specimens
analysts	citations	dir_alpha95	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	instrument_codes	int_corr	location	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	site	software_packages	specimen
	This study		mag	0.9	305.8	-57.3	1.5	1	10	-1	AP1-1a:LP-DIR-T	hargrave 2016-05-18 11:01:40	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	AP1-1	AP1	pmagpy-3.4.1: demag_gui.v.3.0	AP1-1a
	This study		mag	0.9	123.2	-64.0	1.5	1	10	0	AP1-1a:LP-DIR-T	hargrave 2016-05-18 11:01:40	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AP1-1	AP1	pmagpy-3.4.1: demag_gui.v.3.0	AP1-1a
	This study		mag	0.9	98.0	-72.6	1.5	1	10	100	AP1-1a:LP-DIR-T	hargrave 2016-05-18 11:01:40	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AP1-1	AP1	pmagpy-3.4.1: demag_gui.v.3.0	AP1-1a
	This study		mag	0.8	347.1	-75.8	1.2	1	10	-1	AP1-2a:LP-DIR-T	hargrave 2016-05-18 11:03:19	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	AP1-2	AP1	pmagpy-3.4.1: demag_gui.v.3.0	AP1-2a
	This study		mag	0.8	126.0	-64.7	1.2	1	10	0	AP1-2a:LP-DIR-T	hargrave 2016-05-18 11:03:19	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AP1-2	AP1	pmagpy-3.4.1: demag_gui.v.3.0	AP1-2a
	This study		mag	0.8	100.6	-73.8	1.2	1	10	100	AP1-2a:LP-DIR-T	hargrave 2016-05-18 11:03:19	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AP1-2	AP1	pmagpy-3.4.1: demag_gui.v.3.0	AP1-2a
	This study		mag	0.9	313.5	-59.8	1.8	1	10	-1	AP1-3a:LP-DIR-T	hargrave 2016-05-18 11:05:45	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	AP1-3	AP1	pmagpy-3.4.1: demag_gui.v.3.0	AP1-3a
	This study		mag	0.9	131.7	-68.6	1.8	1	10	0	AP1-3a:LP-DIR-T	hargrave 2016-05-18 11:05:45	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AP1-3	AP1	pmagpy-3.4.1: demag_gui.v.3.0	AP1-3a
	This study		mag	0.9	100.9	-78.3	1.8	1	10	100	AP1-3a:LP-DIR-T	hargrave 2016-05-18 11:05:45	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AP1-3	AP1	pmagpy-3.4.1: demag_gui.v.3.0	AP1-3a
	This study		mag	0.4	257.8	-78.7	1.0	1	10	-1	AP1-4a:LP-DIR-T	hargrave 2016-05-18 11:07:17	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	AP1-4	AP1	pmagpy-3.4.1: demag_gui.v.3.0	AP1-4a
	This study		mag	0.4	121.7	-66.0	1.0	1	10	0	AP1-4a:LP-DIR-T	hargrave 2016-05-18 11:07:17	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AP1-4	AP1	pmagpy-3.4.1: demag_gui.v.3.0	AP1-4a
	This study		mag	0.4	92.6	-74.1	1.0	1	10	100	AP1-4a:LP-DIR-T	hargrave 2016-05-18 11:07:17	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AP1-4	AP1	pmagpy-3.4.1: demag_gui.v.3.0	AP1-4a
	This study		mag	0.5	317.6	-43.7	2.5	1	10	-1	AP1-5a:LP-DIR-T	hargrave 2016-05-18 11:08:49	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	AP1-5	AP1	pmagpy-3.4.1: demag_gui.v.3.0	AP1-5a
	This study		mag	0.5	132.6	-60.8	2.5	1	10	0	AP1-5a:LP-DIR-T	hargrave 2016-05-18 11:08:49	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AP1-5	AP1	pmagpy-3.4.1: demag_gui.v.3.0	AP1-5a
	This study		mag	0.5	115.0	-71.4	2.5	1	10	100	AP1-5a:LP-DIR-T	hargrave 2016-05-18 11:08:49	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AP1-5	AP1	pmagpy-3.4.1: demag_gui.v.3.0	AP1-5a
	This study		mag	0.6	318.4	-43.0	1.0	1	10	-1	AP1-6a:LP-DIR-T	hargrave 2016-05-18 11:10:25	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	AP1-6	AP1	pmagpy-3.4.1: demag_gui.v.3.0	AP1-6a
	This study		mag	0.6	129.2	-60.9	1.0	1	10	0	AP1-6a:LP-DIR-T	hargrave 2016-05-18 11:10:25	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AP1-6	AP1	pmagpy-3.4.1: demag_gui.v.3.0	AP1-6a
	This study		mag	0.6	110.1	-71.0	1.0	1	10	100	AP1-6a:LP-DIR-T	hargrave 2016-05-18 11:10:25	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AP1-6	AP1	pmagpy-3.4.1: demag_gui.v.3.0	AP1-6a
	This study		mag	0.1	321.5	-39.6	1.3	1	10	-1	AP1-7a:LP-DIR-T	hargrave 2016-05-18 11:12:02	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	AP1-7	AP1	pmagpy-3.4.1: demag_gui.v.3.0	AP1-7a
	This study		mag	0.1	125.3	-60.2	1.3	1	10	0	AP1-7a:LP-DIR-T	hargrave 2016-05-18 11:12:02	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AP1-7	AP1	pmagpy-3.4.1: demag_gui.v.3.0	AP1-7a
	This study		mag	0.1	105.6	-69.5	1.3	1	10	100	AP1-7a:LP-DIR-T	hargrave 2016-05-18 11:12:02	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AP1-7	AP1	pmagpy-3.4.1: demag_gui.v.3.0	AP1-7a
	This study		mag	0.4	328.6	-40.9	1.5	1	10	-1	AP1-8a:LP-DIR-T	hargrave 2016-05-18 11:13:34	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	AP1-8	AP1	pmagpy-3.4.1: demag_gui.v.3.0	AP1-8a
	This study		mag	0.4	124.3	-66.2	1.5	1	10	0	AP1-8a:LP-DIR-T	hargrave 2016-05-18 11:13:34	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AP1-8	AP1	pmagpy-3.4.1: demag_gui.v.3.0	AP1-8a
	This study		mag	0.4	95.7	-74.8	1.5	1	10	100	AP1-8a:LP-DIR-T	hargrave 2016-05-18 11:13:34	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AP1-8	AP1	pmagpy-3.4.1: demag_gui.v.3.0	AP1-8a
	This study		mag	0.2	325.8	-22.3	1.6	1	10	-1	AP2-1a:LP-DIR-T	hargrave 2016-05-18 11:15:05	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	AP2-1	AP2	pmagpy-3.4.1: demag_gui.v.3.0	AP2-1a
	This study		mag	0.2	120.5	-58.6	1.6	1	10	0	AP2-1a:LP-DIR-T	hargrave 2016-05-18 11:15:05	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AP2-1	AP2	pmagpy-3.4.1: demag_gui.v.3.0	AP2-1a
	This study		mag	0.2	100.9	-67.2	1.6	1	10	100	AP2-1a:LP-DIR-T	hargrave 2016-05-18 11:15:05	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AP2-1	AP2	pmagpy-3.4.1: demag_gui.v.3.0	AP2-1a
	This study		mag	0.4	280.2	-74.9	0.8	1	10	-1	AP2-2a:LP-DIR-T	hargrave 2016-05-18 11:16:40	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	AP2-2	AP2	pmagpy-3.4.1: demag_gui.v.3.0	AP2-2a
	This study		mag	0.4	118.4	-59.2	0.8	1	10	0	AP2-2a:LP-DIR-T	hargrave 2016-05-18 11:16:40	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AP2-2	AP2	pmagpy-3.4.1: demag_gui.v.3.0	AP2-2a
	This study		mag	0.4	97.8	-67.4	0.8	1	10	100	AP2-2a:LP-DIR-T	hargrave 2016-05-18 11:16:40	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AP2-2	AP2	pmagpy-3.4.1: demag_gui.v.3.0	AP2-2a
	This study		mag	1.1	57.8	-45.5	1.0	1	10	-1	AP2-3a:LP-DIR-T	hargrave 2016-05-18 11:19:40	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	AP2-3	AP2	pmagpy-3.4.1: demag_gui.v.3.0	AP2-3a
	This study		mag	1.1	116.2	-53.6	1.0	1	10	0	AP2-3a:LP-DIR-T	hargrave 2016-05-18 11:19:40	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AP2-3	AP2	pmagpy-3.4.1: demag_gui.v.3.0	AP2-3a
	This study		mag	1.1	99.9	-61.7	1.0	1	10	100	AP2-3a:LP-DIR-T	hargrave 2016-05-18 11:19:40	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AP2-3	AP2	pmagpy-3.4.1: demag_gui.v.3.0	AP2-3a
