tab	measurements
citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	location	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	method_codes	number	quality	sample	site	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp	measurement
This study		1.7	27.0	58.4	GB1-1a:LP-DIR-T	hargrave 2016-08-17 16:16:25	Gooseberry	4.4e-06	8.25e-08	9.79e-08	4.27e-08	1	273	LT-NO:LP-DIR-T	1	g	GB1-1	GB1	pmagpy-3.8.9-2	GB1-1a	u	0	0	0.0	-90.0	273.0	GB1-1a:LP-DIR-T1
This study		2.5	24.7	58.6	GB1-1a:LP-DIR-T	hargrave 2016-08-17 19:09:06	Gooseberry	4.4e-06	8.77e-08	1.7e-07	4.83e-08	1	273	LT-NO:LP-DIR-T	2	g	GB1-1	GB1	pmagpy-3.8.9-2	GB1-1a	u	0	0	0.0	-90.0	273.0	GB1-1a:LP-DIR-T2
This study		2.1	30.5	58.4	GB1-1a:LP-DIR-T	hargrave 2016-08-19 17:59:00	Gooseberry	4.38e-06	1.1699999999999999e-07	9.5e-08	5.12e-08	1	273	LT-LT-Z:LP-DIR-T	3	g	GB1-1	GB1	pmagpy-3.8.9-2	GB1-1a	u	0	0	0.0	-90.0	77.0	GB1-1a:LP-DIR-T3
This study		1.4	28.8	58.3	GB1-1a:LP-DIR-T	hargrave 2016-08-26 13:18:50	Gooseberry	4.38e-06	7.64e-08	7.38e-08	5.87e-08	1	273	LT-T-Z:LP-DIR-T	4	g	GB1-1	GB1	pmagpy-3.8.9-2	GB1-1a	u	0	0	0.0	-90.0	373.0	GB1-1a:LP-DIR-T4
This study		1.9	28.5	56.7	GB1-1a:LP-DIR-T	hargrave 2016-08-31 17:20:41	Gooseberry	4.39e-06	7.110000000000001e-08	1.28e-07	5.86e-08	1	273	LT-T-Z:LP-DIR-T	5	g	GB1-1	GB1	pmagpy-3.8.9-2	GB1-1a	u	0	0	0.0	-90.0	473.0	GB1-1a:LP-DIR-T5
This study		1.4	26.1	56.4	GB1-1a:LP-DIR-T	hargrave 2016-09-01 14:50:50	Gooseberry	4.32e-06	8.060000000000001e-08	7.17e-08	5.38e-08	1	273	LT-T-Z:LP-DIR-T	6	g	GB1-1	GB1	pmagpy-3.8.9-2	GB1-1a	u	0	0	0.0	-90.0	573.0	GB1-1a:LP-DIR-T6
This study		1.5	26.8	55.9	GB1-1a:LP-DIR-T	hargrave 2016-09-02 14:14:47	Gooseberry	4.08e-06	8.42e-08	6.71e-08	5.11e-08	1	273	LT-T-Z:LP-DIR-T	7	g	GB1-1	GB1	pmagpy-3.8.9-2	GB1-1a	u	0	0	0.0	-90.0	623.0	GB1-1a:LP-DIR-T7
This study		2.9	24.5	55.9	GB1-1a:LP-DIR-T	hargrave 2016-09-08 10:21:31	Gooseberry	3.69e-06	1.56e-07	6.99e-08	7.82e-08	1	273	LT-T-Z:LP-DIR-T	8	g	GB1-1	GB1	pmagpy-3.8.9-2	GB1-1a	u	0	0	0.0	-90.0	673.0	GB1-1a:LP-DIR-T8
This study		3.1	25.0	55.9	GB1-1a:LP-DIR-T	hargrave 2016-09-08 16:30:13	Gooseberry	3.49e-06	1.6e-07	6.76e-08	7.95e-08	1	273	LT-T-Z:LP-DIR-T	9	g	GB1-1	GB1	pmagpy-3.8.9-2	GB1-1a	u	0	0	0.0	-90.0	698.0	GB1-1a:LP-DIR-T9
This study		3.3	27.3	55.9	GB1-1a:LP-DIR-T	hargrave 2016-09-12 10:15:55	Gooseberry	3.23e-06	1.45e-07	1.0699999999999999e-07	5.68e-08	1	273	LT-T-Z:LP-DIR-T	10	g	GB1-1	GB1	pmagpy-3.8.9-2	GB1-1a	u	0	0	0.0	-90.0	723.0	GB1-1a:LP-DIR-T10
