tab	sites
age	age_high	age_low	age_sigma	age_unit	citations	criteria	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	location	lon	method_codes	result_quality	result_type	samples	site	software_packages	specimens	vgp_dm	vgp_dp	vgp_lat	vgp_lon
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    4.5 	HT	  298.4 	   38.5 	   153 	8	8 	8 	0 	t	7.9542 	0	47.2	Gooseberry	-91.5	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	GB1-1:GB1-2:GB1-3:GB1-4:GB1-5:GB1-6:GB1-7:GB1-8	GB1	pmagpy-3.8.9-2: demag_gui.v.3.0	GB1-1a:GB1-2a:GB1-3a:GB1-4a:GB1-5a:GB1-6a:GB1-7a:GB1-8a	    5.3 	    3.2 	   34.9 	  173.4 
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    4.5 	HT	  299.4 	   47.9 	   154 	8	8 	8 	0 	n	7.9545 	100	47.2	Gooseberry	-91.5	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	GB1-1:GB1-2:GB1-3:GB1-4:GB1-5:GB1-6:GB1-7:GB1-8	GB1	pmagpy-3.8.9-2: demag_gui.v.3.0	GB1-1a:GB1-2a:GB1-3a:GB1-4a:GB1-5a:GB1-6a:GB1-7a:GB1-8a	    5.9 	    3.8 	   40.3 	  179.5 
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    2.2 	HT	  299.8 	   32.7 	   465 	10	10 	10 	0 	t	9.9806 	0	47.1	Gooseberry	-91.5	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	GB10-10:GB10-1:GB10-2:GB10-3:GB10-4:GB10-5:GB10-6:GB10-7:GB10-8:GB10-9	GB10	pmagpy-3.8.9-2: demag_gui.v.3.0	GB10-10a:GB10-1a:GB10-2a:GB10-3a:GB10-4a:GB10-5a:GB10-6a:GB10-7a:GB10-8a:GB10-9a	    2.5 	    1.4 	   33.1 	  169.0 
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    2.2 	HT	  301.1 	   42.1 	   466 	10	10 	10 	0 	n	9.9807 	100	47.1	Gooseberry	-91.5	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	GB10-10:GB10-1:GB10-2:GB10-3:GB10-4:GB10-5:GB10-6:GB10-7:GB10-8:GB10-9	GB10	pmagpy-3.8.9-2: demag_gui.v.3.0	GB10-10a:GB10-1a:GB10-2a:GB10-3a:GB10-4a:GB10-5a:GB10-6a:GB10-7a:GB10-8a:GB10-9a	    2.7 	    1.7 	   38.5 	  173.8 
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    4.7 	HT	  301.9 	   29.0 	   168 	7	7 	7 	0 	t	6.9644 	0	47.1	Gooseberry	-91.5	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	GB11-1:GB11-2:GB11-3:GB11-4:GB11-7:GB11-8:GB11-9	GB11	pmagpy-3.8.9-2: demag_gui.v.3.0	GB11-1a:GB11-2a:GB11-3a:GB11-4a:GB11-7a:GB11-8a:GB11-9a	    5.2 	    2.9 	   32.8 	  165.3 
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    4.7 	HT	  303.2 	   38.3 	   168 	7	7 	7 	0 	n	6.9643 	100	47.1	Gooseberry	-91.5	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	GB11-1:GB11-2:GB11-3:GB11-4:GB11-7:GB11-8:GB11-9	GB11	pmagpy-3.8.9-2: demag_gui.v.3.0	GB11-1a:GB11-2a:GB11-3a:GB11-4a:GB11-7a:GB11-8a:GB11-9a	    5.6 	    3.3 	   38.0 	  169.5 
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    1.8 	HT	  301.6 	   31.7 	  1097 	7	7 	7 	0 	t	6.9945 	0	47.1	Gooseberry	-91.5	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	GB12-1:GB12-2:GB12-3:GB12-5:GB12-6:GB12-7:GB12-8	GB12	pmagpy-3.8.9-2: demag_gui.v.3.0	GB12-1a:GB12-2a:GB12-3a:GB12-5a:GB12-6a:GB12-7a:GB12-8a	    2.0 	    1.1 	   33.8 	  167.0 
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    1.8 	HT	  303.0 	   41.0 	  1112 	7	7 	7 	0 	n	6.9946 	100	47.1	Gooseberry	-91.5	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	GB12-1:GB12-2:GB12-3:GB12-5:GB12-6:GB12-7:GB12-8	GB12	pmagpy-3.8.9-2: demag_gui.v.3.0	GB12-1a:GB12-2a:GB12-3a:GB12-5a:GB12-6a:GB12-7a:GB12-8a	    2.2 	    1.3 	   39.2 	  171.5 
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    2.0 	HT	  294.6 	   32.8 	   750 	8	8 	8 	0 	t	7.9907 	0	47.1	Gooseberry	-91.5	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	GB13-1:GB13-2:GB13-3:GB13-4:GB13-5:GB13-6:GB13-7:GB13-8	GB13	pmagpy-3.8.9-2: demag_gui.v.3.0	GB13-1a:GB13-2a:GB13-3a:GB13-4a:GB13-5a:GB13-6a:GB13-7a:GB13-8a	    2.3 	    1.3 	   29.6 	  173.1 
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    2.0 	HT	  295.1 	   42.3 	   742 	8	8 	8 	0 	t	7.9906 	100	47.1	Gooseberry	-91.5	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	GB13-1:GB13-2:GB13-3:GB13-4:GB13-5:GB13-6:GB13-7:GB13-8	GB13	pmagpy-3.8.9-2: demag_gui.v.3.0	GB13-1a:GB13-2a:GB13-3a:GB13-4a:GB13-5a:GB13-6a:GB13-7a:GB13-8a	    2.5 	    1.5 	   34.5 	  178.4 
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    3.8 	HT	  297.4 	   33.0 	   252 	7	7 	7 	0 	t	6.9762 	0	47.1	Gooseberry	268.5	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	GB14-1:GB14-2:GB14-3:GB14-4:GB14-5:GB14-6:GB14-7	GB14	pmagpy-3.8.9-2: demag_gui.v.3.0	GB14-1a:GB14-2a:GB14-3a:GB14-4a:GB14-5a:GB14-6a:GB14-7a	    4.3 	    2.4 	   31.6 	  171.1 
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    3.8 	HT	  298.3 	   42.4 	   249 	7	7 	7 	0 	n	6.9759 	100	47.1	Gooseberry	268.5	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	GB14-1:GB14-2:GB14-3:GB14-4:GB14-5:GB14-6:GB14-7	GB14	pmagpy-3.8.9-2: demag_gui.v.3.0	GB14-1a:GB14-2a:GB14-3a:GB14-4a:GB14-5a:GB14-6a:GB14-7a	    4.7 	    2.9 	   36.7 	  176.1 
