tab	specimens
analysts	citations	dir_alpha95	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	instrument_codes	int_corr	location	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	site	software_packages	specimen	weight
	This study		HT	0.3	26.1	55.9	1.3	1	19	-1	GB1-1a:LP-DIR-T	hargrave 2016-11-15 18:07:01	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	GB1-1	GB1	pmagpy-3.8.9-2: demag_gui.v.3.0	GB1-1a	0.001
	This study		HT	0.3	300.8	38.2	1.3	1	19	0	GB1-1a:LP-DIR-T	hargrave 2016-11-15 18:07:01	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GB1-1	GB1	pmagpy-3.8.9-2: demag_gui.v.3.0	GB1-1a	0.001
	This study		HT	0.3	302.3	47.6	1.3	1	19	100	GB1-1a:LP-DIR-T	hargrave 2016-11-15 18:07:01	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	GB1-1	GB1	pmagpy-3.8.9-2: demag_gui.v.3.0	GB1-1a	0.001
	This study		HT	0.0	2.7	70.0	0.8	1	19	-1	GB1-2a:LP-DIR-T	hargrave 2016-11-15 18:08:40	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	GB1-2	GB1	pmagpy-3.8.9-2: demag_gui.v.3.0	GB1-2a	0.001
	This study		HT	0.0	299.7	38.0	0.8	1	19	0	GB1-2a:LP-DIR-T	hargrave 2016-11-15 18:08:40	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GB1-2	GB1	pmagpy-3.8.9-2: demag_gui.v.3.0	GB1-2a	0.001
	This study		HT	0.0	300.9	47.4	0.8	1	19	100	GB1-2a:LP-DIR-T	hargrave 2016-11-15 18:08:40	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	GB1-2	GB1	pmagpy-3.8.9-2: demag_gui.v.3.0	GB1-2a	0.001
	This study		HT	0.1	331.3	69.2	1.4	1	19	-1	GB1-3a:LP-DIR-T	hargrave 2016-11-15 18:10:19	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	GB1-3	GB1	pmagpy-3.8.9-2: demag_gui.v.3.0	GB1-3a	0.001
	This study		HT	0.1	295.5	40.9	1.4	1	19	0	GB1-3a:LP-DIR-T	hargrave 2016-11-15 18:10:19	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GB1-3	GB1	pmagpy-3.8.9-2: demag_gui.v.3.0	GB1-3a	0.001
	This study		HT	0.1	296.1	50.4	1.4	1	19	100	GB1-3a:LP-DIR-T	hargrave 2016-11-15 18:10:19	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	GB1-3	GB1	pmagpy-3.8.9-2: demag_gui.v.3.0	GB1-3a	0.001
	This study		HT	0.4	59.9	54.0	1.6	1	19	-1	GB1-4a:LP-DIR-T	hargrave 2016-11-15 18:12:02	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	GB1-4	GB1	pmagpy-3.8.9-2: demag_gui.v.3.0	GB1-4a	0.001
