tab 	pmag_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_names	magic_method_codes	magic_software_packages	pmag_criteria_codes	sample_comp_name	sample_dec	sample_direction_type	sample_inc	sample_n	sample_n_lines	sample_n_planes	sample_tilt_correction
This study	North Shore Volcanics	ns002b	ns002	ns002b1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	286	l	28.5	1	1	0	0
This study	North Shore Volcanics	ns002c	ns002	ns002c1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	298.9	l	32.8	1	1	0	0
This study	North Shore Volcanics	ns002d	ns002	ns002d1	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	292.4	l	35.9	1	1	0	0
This study	North Shore Volcanics	ns002f	ns002	ns002f1	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	287	l	32.9	1	1	0	0
This study	North Shore Volcanics	ns005a	ns005	ns005a1	LP-DIR-AF : LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	301.1	l	28.9	1	1	0	0
This study	North Shore Volcanics	ns006b	ns006	ns006b1	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	302.4	l	29.4	1	1	0	0
This study	North Shore Volcanics	ns006c	ns006	ns006c1	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	300.9	l	31.7	1	1	0	0
This study	North Shore Volcanics	ns006d	ns006	ns006d2	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	301.1	l	26	1	1	0	0
This study	North Shore Volcanics	ns006e	ns006	ns006e2	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	298.4	l	32.6	1	1	0	0
This study	North Shore Volcanics	ns006f	ns006	ns006f1	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	302.8	l	32.5	1	1	0	0
